                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    148,                 1.4359,                 1.2051,                 1.6447,                0.84646,                0.65041,                  0.761,                0.47381,                 1.2799,                 1.0171,                 1.4957,             0.00045401,             0.00045401,             0.00045401
                    149,                  1.441,                 1.1909,                 1.6115,                 0.8468,                0.64823,                0.75632,                0.47765,                 1.2551,                 1.0017,                 1.4895,             0.00044576,             0.00044576,             0.00044576
                    150,                 1.3572,                 1.1771,                 1.5946,                0.82974,                 0.6715,                0.76486,                0.48703,                 1.2344,                 1.0082,                 1.4717,              0.0004375,              0.0004375,              0.0004375
                    151,                 1.3679,                 1.1376,                 1.5749,                0.86468,                0.66942,                0.77846,                0.49181,                 1.2388,                0.96044,                 1.4654,             0.00042925,             0.00042925,             0.00042925
                    152,                 1.4206,                 1.1589,                 1.6032,                0.86557,                0.65749,                0.77293,                0.48797,                 1.2451,                0.94213,                 1.4661,               0.000421,               0.000421,               0.000421
                    153,                 1.4104,                 1.1918,                 1.6278,                0.88298,                 0.6537,                0.77728,                0.48857,                  1.231,                 0.9504,                 1.4582,             0.00041275,             0.00041275,             0.00041275
                    154,                 1.3649,                 1.1366,                 1.5805,                0.84844,                 0.6809,                0.77655,                 0.4931,                 1.2026,                0.95821,                 1.4471,              0.0004045,              0.0004045,              0.0004045
                    155,                 1.3993,                  1.151,                 1.6235,                0.87111,                0.66279,                0.77043,                0.49119,                 1.2047,                0.94374,                 1.4393,             0.00039625,             0.00039625,             0.00039625
                    156,                 1.4173,                 1.1404,                  1.608,                0.85556,                0.67101,                0.77247,                0.49751,                 1.2047,                0.92809,                 1.4351,             0.00038799,             0.00038799,             0.00038799
                    157,                 1.3617,                 1.1211,                   1.56,                0.87894,                 0.6771,                0.78546,                0.50171,                 1.1773,                 0.9072,                 1.4225,             0.00037974,             0.00037974,             0.00037974
                    158,                 1.3788,                 1.1535,                 1.5937,                0.87723,                0.67107,                0.78915,                0.50093,                 1.1829,                0.91445,                 1.4263,             0.00037149,             0.00037149,             0.00037149
                    159,                 1.3804,                 1.1548,                 1.5977,                0.87286,                0.66709,                0.77954,                0.49688,                 1.2045,                0.92147,                  1.435,             0.00036324,             0.00036324,             0.00036324
                    160,                 1.3699,                 1.1111,                  1.549,                0.86163,                0.68284,                0.78558,                 0.4966,                 1.2193,                0.92567,                 1.4498,             0.00035499,             0.00035499,             0.00035499
                    161,                 1.3947,                 1.1223,                 1.5833,                0.87093,                0.67765,                0.79024,                0.50468,                 1.1911,                0.91555,                 1.4236,             0.00034674,             0.00034674,             0.00034674
                    162,                 1.3536,                 1.1001,                 1.5765,                0.83793,                0.67734,                0.78217,                0.50527,                 1.1875,                0.91602,                 1.4173,             0.00033848,             0.00033848,             0.00033848
                    163,                 1.3469,                 1.1263,                 1.5635,                0.83836,                0.68725,                0.78542,                0.50126,                 1.1981,                0.92477,                 1.4241,             0.00033023,             0.00033023,             0.00033023
                    164,                 1.3912,                 1.1436,                 1.5853,                0.88651,                0.67548,                  0.793,                0.50057,                 1.1993,                0.92832,                  1.426,             0.00032198,             0.00032198,             0.00032198
                    165,                 1.3621,                 1.1337,                 1.5792,                 0.8919,                0.67708,                 0.8023,                0.51363,                 1.1809,                0.91141,                 1.4193,             0.00031373,             0.00031373,             0.00031373
                    166,                 1.3948,                 1.1386,                 1.6038,                0.84901,                 0.6986,                0.79355,                0.52352,                  1.154,                0.91271,                 1.4024,             0.00030548,             0.00030548,             0.00030548
                    167,                 1.3469,                   1.12,                 1.5537,                0.83909,                0.68449,                0.78622,                0.51492,                 1.1685,                0.93097,                 1.4102,             0.00029723,             0.00029723,             0.00029723
                    168,                  1.327,                 1.1032,                 1.5523,                0.84925,                0.70917,                0.79901,                0.52215,                 1.1669,                0.89459,                 1.4034,             0.00028897,             0.00028897,             0.00028897
                    169,                 1.3196,                 1.0975,                 1.5549,                0.87478,                0.70995,                0.80639,                0.52705,                 1.1551,                0.87845,                 1.4014,             0.00028072,             0.00028072,             0.00028072
                    170,                 1.3602,                 1.1139,                 1.5654,                0.87621,                0.68844,                 0.8016,                0.52462,                 1.1592,                0.88198,                 1.4057,             0.00027247,             0.00027247,             0.00027247
                    171,                  1.361,                 1.0972,                 1.5443,                0.88364,                0.66589,                0.79524,                0.52321,                 1.1484,                0.91106,                 1.3908,             0.00026422,             0.00026422,             0.00026422
                    172,                 1.3278,                 1.1001,                 1.5629,                0.86572,                 0.7016,                0.80505,                0.53173,                 1.1414,                0.89439,                 1.3919,             0.00025597,             0.00025597,             0.00025597
                    173,                 1.3113,                   1.11,                 1.5774,                0.88549,                0.69521,                0.80681,                 0.5321,                 1.1477,                0.88324,                    1.4,             0.00024772,             0.00024772,             0.00024772
                    174,                 1.3141,                 1.0891,                 1.5559,                0.86763,                 0.6958,                0.80262,                0.52455,                 1.1542,                0.87004,                 1.3949,             0.00023946,             0.00023946,             0.00023946
                    175,                 1.3804,                 1.1226,                 1.5613,                0.87599,                0.69293,                0.80854,                0.52887,                  1.152,                0.87608,                 1.3914,             0.00023121,             0.00023121,             0.00023121
                    176,                 1.3394,                 1.1029,                  1.557,                0.88752,                0.70217,                 0.8152,                0.54222,                 1.1237,                0.85887,                 1.3695,             0.00022296,             0.00022296,             0.00022296
                    177,                 1.3249,                 1.0549,                 1.5156,                 0.8836,                0.70868,                 0.8146,                0.53892,                  1.122,                 0.8527,                 1.3677,             0.00021471,             0.00021471,             0.00021471
                    178,                 1.3048,                 1.0535,                 1.5106,                0.86555,                 0.7198,                0.81429,                0.54122,                 1.1261,                0.85168,                 1.3708,             0.00020646,             0.00020646,             0.00020646
                    179,                 1.3471,                 1.0896,                 1.5728,                0.86087,                0.71587,                0.80901,                0.53931,                 1.1256,                 0.8563,                 1.3713,             0.00019821,             0.00019821,             0.00019821
                    180,                 1.3214,                 1.0477,                 1.5298,                0.85876,                 0.7252,                0.81541,                0.53869,                 1.1213,                0.84614,                 1.3683,             0.00018995,             0.00018995,             0.00018995
                    181,                  1.299,                 1.0482,                 1.5335,                0.86807,                0.72082,                0.81588,                0.54146,                 1.1133,                0.84045,                 1.3647,              0.0001817,              0.0001817,              0.0001817
                    182,                 1.3124,                 1.0555,                 1.5263,                0.88348,                0.70761,                0.81941,                0.54189,                 1.1163,                0.83606,                  1.364,             0.00017345,             0.00017345,             0.00017345
                    183,                 1.2939,                 1.0335,                  1.535,                0.89912,                0.69526,                 0.8213,                0.54716,                 1.1061,                0.83591,                 1.3594,              0.0001652,              0.0001652,              0.0001652
                    184,                 1.2896,                 1.0295,                 1.5254,                0.85988,                0.72281,                0.81803,                0.54889,                 1.1075,                0.83003,                 1.3633,             0.00015695,             0.00015695,             0.00015695
                    185,                 1.3264,                 1.0542,                 1.5449,                0.88259,                0.71547,                 0.8224,                0.54635,                 1.1196,                0.82342,                 1.3666,              0.0001487,              0.0001487,              0.0001487
                    186,                 1.2625,                 1.0398,                 1.4905,                0.89215,                0.71221,                 0.8278,                 0.5558,                 1.0957,                0.81728,                 1.3484,             0.00014044,             0.00014044,             0.00014044
                    187,                 1.2911,                 1.0211,                 1.5105,                0.88128,                0.72974,                0.82496,                0.55226,                 1.0984,                0.83236,                 1.3503,             0.00013219,             0.00013219,             0.00013219
                    188,                 1.2546,                 1.0158,                  1.483,                0.88527,                0.71842,                0.82386,                0.55377,                 1.0991,                0.83804,                 1.3533,             0.00012394,             0.00012394,             0.00012394
                    189,                 1.2668,                 1.0532,                 1.4986,                 0.8768,                0.71817,                0.82132,                0.55764,                  1.085,                0.82685,                 1.3437,             0.00011569,             0.00011569,             0.00011569
                    190,                 1.2723,                 1.0109,                 1.4894,                0.86887,                0.71563,                0.82008,                0.55279,                 1.0823,                0.82508,                   1.34,             0.00010744,             0.00010744,             0.00010744
                    191,                 1.2676,                  1.019,                 1.4864,                0.88149,                0.71606,                0.82569,                0.55431,                 1.0919,                0.81915,                 1.3429,             9.9187e-05,             9.9187e-05,             9.9187e-05
                    192,                 1.2701,                 1.0297,                 1.5251,                0.88936,                0.72534,                0.82726,                0.55591,                 1.0929,                0.81327,                 1.3422,             9.0935e-05,             9.0935e-05,             9.0935e-05
                    193,                 1.2639,                0.98141,                 1.4853,                0.90062,                0.71882,                0.82857,                0.55833,                 1.0898,                0.81493,                 1.3435,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    194,                 1.2749,                 1.0196,                 1.4958,                0.89593,                0.72181,                0.82984,                0.55776,                 1.0869,                0.81437,                 1.3416,             7.4432e-05,             7.4432e-05,             7.4432e-05
                    195,                 1.2749,                 1.0036,                 1.4743,                0.89617,                 0.7236,                0.83142,                0.56013,                 1.0763,                0.80814,                 1.3329,              6.618e-05,              6.618e-05,              6.618e-05
                    196,                 1.2166,                0.96795,                 1.4796,                 0.8722,                0.73646,                0.82801,                0.55942,                 1.0799,                0.80559,                 1.3333,             5.7928e-05,             5.7928e-05,             5.7928e-05
                    197,                 1.2689,                 1.0086,                 1.4818,                0.87772,                0.72871,                 0.8269,                0.55837,                 1.0795,                 0.8062,                 1.3334,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    198,                 1.2601,                 1.0099,                 1.5083,                 0.8756,                0.73205,                0.82458,                0.55797,                  1.076,                0.80977,                 1.3331,             4.1425e-05,             4.1425e-05,             4.1425e-05
                    199,                 1.2452,                 1.0074,                  1.486,                0.86971,                0.73403,                0.82663,                0.56328,                 1.0679,                0.80518,                 1.3275,             3.3173e-05,             3.3173e-05,             3.3173e-05
